SP,Day,maomc,pomc,ldmaomc,sdmaomc,ldpomc,sdpomc,litCadded,CumFs,CumFl,LitCrem,ldmaomc.perc,resid,maom.resp,mse,maomc.se,pomc.se,ldmaomc.se,sdmaomc.se,ldpomc.se,sdpomc.se,mic.harv.day,Resp,MGR.a,CUE.a,MBC.a,MTR.a,Resp.se,MGR.a.se,CUE.a.se,MTR.a.se,d13C,pN,pC,CN,psoluble,phemicellulose,plignin,lci,pash,ligN,s,k1,k2,d13C.se,pN.se,pC.se,CN.se,psoluble.se,phemicellulose.se,plignin.se,pash.se,ligN.se,LCI.se,s.se,k1.se,k2.se,avCloss30,avCloss30.se,avCloss185,avCloss185.se
AR,30,107.0828122,121.0552721,10.97742045,96.10539172,69.48533164,51.56994043,138.5891255,3.924889801,50.03402411,88.55510139,7.920838238,8.092349307,0.219399112,15.88540923,2.780422845,5.325678131,0.638740323,2.572002913,2.43968274,2.93056601,15,181.0995504,195.6516612,0.527472946,2649.391452,0.073847774,26.03731998,4.951420034,0.043925412,0.00186889,-31.17752023,0.517066667,46.09266667,89.64442454,61.6793901,29.47754781,6.963588771,0.190355061,1.879473322,13.07898063,0.3072556,0.1455188,0.0036125,0.0694553,0.02818666,0.180224502,4.613657614,0.19256799,2.151780675,2.352685371,0.160463871,4.123762228,0.063895037,0.0089577,0.0095765,1.56E-04,36.62808853,0.42343466,62.1839197,0.730579154
AS,30,109.6032541,124.6152586,11.04341043,98.55984363,71.87167042,52.74358818,133.567059,2.546919523,42.3259199,91.24113905,8.268064387,8.326058194,0.260913654,17.89989608,2.939183917,10.73268843,0.787278198,2.664882535,6.3927436,4.379356293,15,199.6040896,181.9963139,0.50453544,3136.578475,0.058023836,54.65392999,15.44423966,0.071112929,0.004923913,-30.3329655,0.8851,43.66006667,49.61682661,50.43725709,34.16734764,12.41564427,0.266490425,2.979750997,14.10104331,0.2729991,0.134747,0.003772,0.090395641,0.050124877,0.222097263,2.555526498,0.717388727,0.33964615,0.220616676,0.158888403,0.684573806,0.001570109,0.0230693,0.0247011,3.79E-04,33.11320467,1.357812076,60.77338558,3.801550845
AT,30,113.1637051,100.0883254,10.06649059,103.0972145,55.08608723,45.00223813,136.2445695,7.546275704,38.05443743,98.19013211,7.388544453,33.0375543,0.264528693,12.40349782,1.954491894,3.398366973,0.739038615,1.759968201,2.531599646,2.86494654,15,201.0374705,79.88354934,0.325105882,1409.304773,0.056682948,78.04603445,15.06851056,0.046973194,0.010692159,-32.92351351,2.085166667,45.23016667,21.70647566,39.64649517,44.84595114,15.58083455,0.257821068,0.018896447,7.357305043,0.2666,0.1128,6.09E-04,0.174990865,0.03846632,0.059145283,0.409306793,0.185787186,0.089800942,0.388090785,0.018896447,0.293212532,0.005149792,0.007071,0.006924,8.96E-05,26.80424153,0.714793722,34.06287959,0.93901329
CC,30,105.859234,130.8754077,7.393336823,98.4658972,75.74455731,55.13085038,133.6437876,4.861363725,35.81552674,97.82826082,5.532121588,14.69036669,0.206428259,12.76931799,1.526426292,11.11506413,0.058315861,1.468110431,7.304201191,4.389675553,15,168.7567259,86.9483336,0.346356834,1823.165443,0.047690863,18.8228668,4.336016087,0.036804373,0.00237829,-28.96121227,1.045933333,44.42206667,42.65698405,32.1265556,47.13593441,20.72458007,0.305335408,0.01292992,19.88029225,0.271,0.09443,0.001152,0.182943796,0.054213231,0.455032725,1.792213507,1.369286753,1.092192202,0.843527674,0.01292992,0.937330118,0.009870784,0.006798,0.004986,8.50E-05,26.63423438,0.347026643,39.90763398,0.262593256
CG,30,106.6512909,140.4374806,5.657891351,100.9933996,83.81556636,56.62191427,134.4881775,5.203511079,33.07553732,101.4126402,4.206980461,11.93918251,0.171059696,11.16558081,3.520822949,6.21587509,1.303046864,2.526889431,5.122804961,1.094843253,15,166.1258622,70.59056429,0.300847215,1318.162191,0.05355226,15.60956072,7.592606471,0.033322483,0.005759994,-29.93773269,0.889133333,44.63226667,50.22842146,29.08747775,48.26038516,22.65213709,0.319351841,0,25.52751133,0.2699,0.06973,9.81E-04,0.11330897,0.018598327,0.459827404,0.836439324,0.581790009,0.229195347,0.604892825,0,1.229090766,0.006132834,0.007428,0.003559,8.37E-05,24.69565256,0.265626508,38.39899691,0.732627827
CO,30,108.5578139,174.5750792,7.490918908,101.066895,108.2756347,66.29944445,132.7529664,1.88895585,38.00371723,94.74924917,5.642750675,0,0.197110163,16.46549911,7.092410961,13.9066541,2.229880693,4.889017056,12.66315777,1.361049223,15,226.6546639,110.914222,0.330113947,1546.014796,0.071742018,14.5236068,8.363561715,0.029249018,0.005409755,-28.97962128,0.946766667,44.1333,47.20531932,34.14153456,44.6922073,20.59278121,0.315558928,0.573476924,22.07180093,0.3231944,0.0712037,0.0015168,0.131599285,0.07914001,0.242276502,3.543573616,1.40277609,1.338277959,0.430773961,0.379144458,2.010507908,0.004469542,0.0344452,0.0138195,4.31E-04,30.27252201,2.127253552,47.98329704,4.121587895
FA,30,112.5054254,150.6703122,5.046238788,107.4591866,87.67023731,63.00007485,124.6621246,8.026001367,39.60034719,85.06177737,4.047932606,0,0.127429155,11.30263082,5.022579785,14.26747427,1.267472856,5.784067953,6.38933918,8.240730695,15,267.4608521,124.1373301,0.333230649,1662.407488,0.074673226,52.68367631,4.994499786,0.045174532,0.003004378,-29.14723252,1.039433333,41.40223333,39.8077083,41.64670486,43.48312622,14.5035482,0.323078797,0.366620725,14.08336422,0.2875205,0.145578,0.0013557,0.20285396,0.083041683,3.570052504,1.063032381,0.794412386,0.102641032,0.938103721,0.167418319,1.114615554,0.004151823,0.0110306,0.0138147,1.61E-04,30.74703657,1.259442468,43.40751066,1.655023721
FG,30,95.53467306,179.2415018,0,96.37976694,112.4258241,66.81567771,136.5283072,2.217155422,27.09903562,109.4292716,0,0,0,0,1.005781281,9.636893373,1.012172694,1.940074792,4.801984686,5.083206601,15,197.0312039,101.2172561,0.372029353,1443.28902,0.070129582,49.97136955,5.389871769,0.07750821,0.003734437,-31.52024973,0.921933333,45.3884,49.27630308,26.62981208,48.04628556,22.9273628,0.249731534,2.396539566,24.8925693,0.2172912,0.0503292,0.0017256,0.192884897,0.020653679,0.180971001,1.009309615,0.356404513,0.580317345,0.225773382,0.156459733,0.587907556,0.01194581,0.0134103,0.00466,1.30E-04,20.06269964,0.452806282,42.54427273,1.249270245
LT,30,108.0856671,126.9729251,12.08361964,96.00204746,62.43477742,64.5381477,134.560654,7.706517996,34.80153773,99.75911632,8.980054181,25.24071926,0.347215107,16.75351511,4.792167955,25.5699058,1.283115805,3.50905215,12.38427386,13.18563193,15,209.4273892,104.0658214,0.353054724,2002.011756,0.051980625,41.70995978,7.716118774,0.047270153,0.003854183,-29.66155904,0.778166667,44.6934,57.57329453,52.04091087,34.16632823,13.73925621,0.286681588,0.053504685,17.72832183,0.2304425,0.1554364,7.01E-04,0.144281222,0.026140922,0.244080199,2.081591825,0.726243263,0.324207018,0.404280293,0.026856639,1.110398457,0.004314066,0.0073497,0.0129189,9.62E-05,24.4710758,1.076904918,31.55792001,0.571284939
NS,30,125.2284126,128.6656747,18.52968971,106.6987229,71.11958308,57.54609157,136.0404322,3.990993852,39.00277676,97.03765548,13.62072246,7.388382692,0.475086423,28.54197064,4.227366507,6.756301648,0.709045298,3.518349242,5.809980499,1.810369243,15,197.7500412,112.5436532,0.372869321,2176.089209,0.051718309,32.65174964,7.322360069,0.034445485,0.003364917,-31.04428895,0.705733333,45.22996667,64.15480445,54.35385881,35.70360488,9.942536309,0.218074181,0,14.10113525,0.2285706,0.1284407,0.0032505,0.113749035,0.020201018,0.558245556,1.188594791,1.067137308,1.099164739,0.189440919,0,0.294813103,0.006779769,0.0095905,0.0117114,1.41E-04,28.31328131,0.458640009,55.21713624,0.707565566
QA,30,111.3160847,149.0857099,12.11933785,99.19674683,92.55632187,56.52938808,143.2091632,3.283587726,32.53996766,110.6691955,8.462683237,5.993535801,0.37244468,23.92627448,1.481630205,11.01117515,1.237728651,0.441776384,8.569651156,2.847352385,15,298.4747942,187.1627066,0.391619253,2648.218574,0.070674947,40.98245169,14.0280793,0.028848211,0.005297176,-29.38624458,0.824233333,47.53436667,57.68738069,50.32679645,33.38463085,15.0377671,0.31065736,1.250805609,18.24090437,0.3600661,0.0275598,0.0011179,0.04525646,0.009968339,0.229400446,0.731792988,1.404813477,1.134368251,0.400021778,0.120998856,0.350501298,0.002213516,0.0825513,0.0069864,7.62E-04,22.00678835,0.959399563,47.44285057,3.175065242
QP,30,101.3301216,147.2207672,1.369958682,99.96016296,94.57587348,52.64489371,141.9263058,2.427633994,29.14854863,112.7777572,0.96526058,16.83192504,0.046999207,2.893233734,0.92090324,6.308323304,2.063839009,1.386632097,1.578272984,5.040900157,15,127.1972835,121.1960866,0.492343488,1691.563888,0.07164736,15.24743067,7.144625302,0.03092227,0.00422368,-29.05809038,0.629133333,47.11246667,74.91680586,48.0171107,32.77148578,17.28482162,0.345480823,1.926581893,27.49234493,0.2201289,0.0554371,0.0017282,0.057348533,0.008795706,0.074081539,1.151214453,0.987497512,0.871713458,0.165866844,0.188236637,0.655829376,0.004820389,0.012521,0.0049879,1.26E-04,20.53049994,0.27348562,42.49374508,1.089506668
QR,30,99.35257934,175.3384877,0,101.0536341,118.6520582,56.6864295,145.0316789,1.346704476,33.45865673,111.5730221,0,0,0,0,4.52755445,3.417879003,1.103534376,4.067848847,4.744171053,1.595915349,15,165.6068314,87.17594837,0.373561375,1501.915073,0.058043194,38.98515785,3.846105371,0.068771075,0.002560801,-27.35078538,0.685533333,48.2033,70.95782706,35.89474137,39.1613976,24.49362239,0.385072687,0.450238635,36.08643276,0.2296098,0.0648742,0.0014558,0.060677651,0.046162659,0.221380991,4.772858863,1.230684578,1.32321422,0.298315128,0.392994664,2.662036049,0.007225956,0.0120964,0.0059622,1.29E-04,22.12988618,0.468809867,40.33402706,1.785067673
QV,30,97.60169405,151.7619053,0,97.92206238,98.59521517,53.16669016,143.8250082,3.077893343,29.788628,114.0363802,0,15.441165,0,0,4.267157703,13.12376376,1.209134561,3.287499564,6.231602597,6.935647113,15,244.0559138,141.9741085,0.381271078,1661.431456,0.085452883,53.72348642,26.83823798,0.075107972,0.016153684,-29.21382098,0.7851,47.79033333,61.63152672,40.35217272,37.84843425,21.79939303,0.365407206,0,28.07310638,0.2212095,0.0585164,0.0011857,0.205813988,0.062519837,0.255723662,4.771511639,0.703332656,0.297202731,0.414921486,0,1.950764367,0.002741337,0.011541,0.0051281,1.16E-04,20.40903505,0.339272574,36.94819502,1.414786493
SA,30,105.1625436,163.6369579,5.608608591,99.55393497,104.337621,59.29933684,143.7432981,5.520783325,28.06595061,115.6773475,3.901822668,5.731117898,0.199836758,14.23299637,4.377825901,6.222838577,0.823164182,3.585239628,3.691122285,3.526784708,15,177.2690567,65.94052107,0.272212296,1314.929338,0.050147578,15.98329716,9.267419128,0.032400805,0.007047846,-32.90114871,0.832566667,47.7275,57.68592585,53.97911894,30.64605854,15.34971266,0.334561898,0.025109856,18.62343054,0.1555,0.1597,0.001076,0.014191153,0.041515954,0.474436771,3.612860237,0.919247,1.590833253,0.715769352,0.025109856,1.877468973,0.022235184,0.005676,0.01514,6.99E-05,18.0196683,0.709777193,30.15064809,0.696028969
TA,30,104.5409476,157.8199558,4.743161283,99.79778627,97.46922878,60.35072697,140.4018165,5.542694026,34.04483615,106.3569804,3.378276294,4.144590291,0.13932102,11.04792777,3.774743214,25.13827535,0.293895753,3.953818186,16.97626811,8.163272618,15,178.6006527,87.90809269,0.365227155,1356.945768,0.064783792,50.90730898,15.23469731,0.094492224,0.011227197,-30.58876399,1.694866667,46.56776667,27.5381224,42.71331452,33.14324594,23.86080909,0.417532754,0.282630445,14.15014585,0.2168638,0.1066683,9.84E-04,0.131173038,0.062910766,0.28150909,0.841728578,1.215217566,1.269220493,2.178897017,0.04212977,1.587475459,0.030457149,0.008493,0.0093025,1.02E-04,22.59816922,0.943427441,33.86434601,1.462464851
AR,185,108.9505943,88.72041529,17.44798515,91.50260919,39.77106584,48.94934945,138.3125695,17.09079873,86.00961738,52.30295212,12.61489481,0,0.202860862,16.86486515,4.050691591,6.955510865,1.582109597,2.70624965,5.301379073,5.171871756,100,234.4695917,46.79768447,0.168528507,990.1394922,0.047263729,15.84635879,4.063485975,0.018653407,0.004103953,-31.17752023,0.517066667,46.09266667,89.64442454,61.6793901,29.47754781,6.963588771,0.190355061,1.879473322,13.07898063,0.3072556,0.1455188,0.0036125,0.0694553,0.02818666,0.180224502,4.613657614,0.19256799,2.151780675,2.352685371,0.160463871,4.123762228,0.063895037,0.0089577,0.0095765,1.56E-04,36.62808853,0.42343466,62.1839197,0.730579154
AS,185,99.06432287,77.60450323,13.58923848,85.47508438,37.98659462,39.61790861,131.4168007,15.55647425,79.85896677,51.5578339,10.34056408,0,0.170165468,14.54200051,4.070498712,1.803684604,0.79285412,3.277644593,1.57646953,1.126797651,100,182.8210698,75.37122651,0.292560674,1120.85912,0.067244157,11.34724671,5.378005477,0.018607893,0.00479811,-30.3329655,0.8851,43.66006667,49.61682661,50.43725709,34.16734764,12.41564427,0.266490425,2.979750997,14.10104331,0.2729991,0.134747,0.003772,0.090395641,0.050124877,0.222097263,2.555526498,0.717388727,0.33964615,0.220616676,0.158888403,0.684573806,0.001570109,0.0230693,0.0247011,3.79E-04,33.11320467,1.357812076,60.77338558,3.801550845
AT,185,112.3643449,88.20813202,17.14733552,95.21700937,42.70397475,45.50415728,135.9958036,20.08269381,46.32701478,89.66878885,12.60872399,29.81747858,0.370136854,18.38031876,3.385538775,1.798328209,1.174651354,2.497506246,1.438005516,1.38311037,100,117.8157343,19.42227624,0.138814287,580.6326378,0.033450197,2.229979762,4.640724357,0.027732659,0.007992531,-32.92351351,2.085166667,45.23016667,21.70647566,39.64649517,44.84595114,15.58083455,0.257821068,0.018896447,7.357305043,0.2666,0.1128,6.09E-04,0.174990865,0.03846632,0.059145283,0.409306793,0.185787186,0.089800942,0.388090785,0.018896447,0.293212532,0.005149792,0.007071,0.006924,8.96E-05,26.80424153,0.714793722,34.06287959,0.93901329
CC,185,121.7023232,84.04609875,23.59604878,98.10627442,35.0206428,49.02545595,133.3994662,19.10911527,53.23700498,80.16246122,17.68826327,21.54576964,0.443226451,23.98488614,2.682731288,1.20241521,3.810827107,2.461517399,0.654222733,1.842844042,100,145.6546163,25.10138542,0.14738872,658.8852574,0.038096748,5.771792403,2.33603419,0.01481423,0.003545434,-28.96121227,1.045933333,44.42206667,42.65698405,32.1265556,47.13593441,20.72458007,0.305335408,0.01292992,19.88029225,0.271,0.09443,0.001152,0.182943796,0.054213231,0.455032725,1.792213507,1.369286753,1.092192202,0.843527674,0.01292992,0.937330118,0.009870784,0.006798,0.004986,8.50E-05,26.63423438,0.347026643,39.90763398,0.262593256
CG,185,114.4429942,89.89508812,19.48075143,94.96224273,42.82345558,47.07163253,134.4547033,19.80839783,51.62591691,82.82878642,14.48870954,20.52457941,0.377344415,21.25994343,4.506487394,13.8182352,0.98106631,3.989716007,6.062831095,7.986327797,100,142.7199543,13.66545133,0.107965191,471.8053251,0.028964174,32.39612227,1.935649818,0.036673038,0.004102645,-29.93773269,0.889133333,44.63226667,50.22842146,29.08747775,48.26038516,22.65213709,0.319351841,0,25.52751133,0.2699,0.06973,9.81E-04,0.11330897,0.018598327,0.459827404,0.836439324,0.581790009,0.229195347,0.604892825,0,1.229090766,0.006132834,0.007428,0.003559,8.37E-05,24.69565256,0.265626508,38.39899691,0.732627827
CO,185,111.6879061,101.8579308,16.82811773,94.85978838,53.88887686,47.96905396,133.1170661,15.54307965,63.85922138,69.25784475,12.64159301,0,0.263518993,20.85595821,7.517418131,2.670337458,1.65953412,6.049641406,2.6045524,2.391804062,100,166.8062449,27.08220267,0.140252783,673.0558807,0.040237673,10.11542598,1.957269885,0.010402559,0.002908035,-28.97962128,0.946766667,44.1333,47.20531932,34.14153456,44.6922073,20.59278121,0.315558928,0.573476924,22.07180093,0.3231944,0.0712037,0.0015168,0.131599285,0.07914001,0.242276502,3.543573616,1.40277609,1.338277959,0.430773961,0.379144458,2.010507908,0.004469542,0.0344452,0.0138195,4.31E-04,30.27252201,2.127253552,47.98329704,4.121587895
FA,185,117.1697252,88.42280564,18.7816097,98.38811553,38.19753296,50.22527268,124.9519402,23.23667771,54.23910998,70.71283022,15.03106688,13.73368755,0.346274297,21.64917069,4.225025609,2.697366712,1.254904927,3.72736502,3.787970484,2.400512697,100,168.5520716,37.7618578,0.188817086,941.1265739,0.040124101,21.42226865,3.114901158,0.023477036,0.003309758,-29.14723252,1.039433333,41.40223333,39.8077083,41.64670486,43.48312622,14.5035482,0.323078797,0.366620725,14.08336422,0.2875205,0.145578,0.0013557,0.20285396,0.083041683,3.570052504,1.063032381,0.794412386,0.102641032,0.938103721,0.167418319,1.114615554,0.004151823,0.0110306,0.0138147,1.61E-04,30.74703657,1.259442468,43.40751066,1.655023721
FG,185,89.70309543,117.9266531,5.571857262,84.13123817,64.24638061,53.68027251,136.9254557,14.78603235,58.24971925,78.67573645,4.069263259,8.857498584,0.095654663,7.666384382,10.40357808,6.613682754,2.019665965,8.615033821,2.703435159,3.941069008,100,160.544718,25.89055535,0.141344906,577.0218312,0.044869282,10.73884863,5.038930836,0.031114459,0.008732652,-31.52024973,0.921933333,45.3884,49.27630308,26.62981208,48.04628556,22.9273628,0.249731534,2.396539566,24.8925693,0.2172912,0.0503292,0.0017256,0.192884897,0.020653679,0.180971001,1.009309615,0.356404513,0.580317345,0.225773382,0.156459733,0.587907556,0.01194581,0.0134103,0.00466,1.30E-04,20.06269964,0.452806282,42.54427273,1.249270245
LT,185,112.2360056,70.40142481,17.40531864,94.83068691,28.63539305,41.76603176,134.3707071,24.97157785,42.40384741,91.96685969,12.95320909,45.926148,0.410465552,16.4612162,3.774940776,2.548673419,1.444622665,2.562623296,0.811038101,2.141255013,100,135.3843106,45.09817713,0.253825788,1114.217646,0.040475196,17.32544429,3.818170371,0.022884846,0.003426772,-29.66155904,0.778166667,44.6934,57.57329453,52.04091087,34.16632823,13.73925621,0.286681588,0.053504685,17.72832183,0.2304425,0.1554364,7.01E-04,0.144281222,0.026140922,0.244080199,2.081591825,0.726243263,0.324207018,0.404280293,0.026856639,1.110398457,0.004314066,0.0073497,0.0129189,9.62E-05,24.4710758,1.076904918,31.55792001,0.571284939
NS,185,118.0122595,73.28651943,22.01518648,95.99707303,24.29174022,48.99477921,136.1195847,18.83109236,75.16358415,60.95600054,16.17341584,14.64907384,0.292896976,19.68667695,2.860546441,2.686721952,1.445912256,1.454641619,0.883169363,3.549098853,100,238.3792292,70.38730533,0.228402337,1402.896589,0.050172839,25.78486856,7.532416285,0.008924206,0.005369189,-31.04428895,0.705733333,45.22996667,64.15480445,54.35385881,35.70360488,9.942536309,0.218074181,0,14.10113525,0.2285706,0.1284407,0.0032505,0.113749035,0.020201018,0.558245556,1.188594791,1.067137308,1.099164739,0.189440919,0,0.294813103,0.006779769,0.0095905,0.0117114,1.41E-04,28.31328131,0.458640009,55.21713624,0.707565566
QA,185,107.1069729,84.51764369,22.4116525,84.69532042,44.70964859,39.8079951,143.1735124,17.41794864,67.93063939,75.24287301,15.65349073,8.121571932,0.329919646,22.76129702,6.68699419,5.083811458,2.835757015,6.705589673,3.170389818,2.070397347,100,241.7893814,48.90266778,0.174947452,1158.152354,0.042224728,45.08941285,5.197628011,0.018928596,0.004487862,-29.38624458,0.824233333,47.53436667,57.68738069,50.32679645,33.38463085,15.0377671,0.31065736,1.250805609,18.24090437,0.3600661,0.0275598,0.0011179,0.04525646,0.009968339,0.229400446,0.731792988,1.404813477,1.134368251,0.400021778,0.120998856,0.350501298,0.002213516,0.0825513,0.0069864,7.62E-04,22.00678835,0.959399563,47.44285057,3.175065242
QP,185,99.67077399,121.759962,8.660205038,91.01056896,72.86489468,48.89506732,141.6554092,16.62104825,60.19404321,81.46136594,6.113571723,0,0.143871463,12.57759,1.867193358,10.64636203,0.427571979,2.152709887,5.439066267,5.653468701,100,146.5676439,34.53386445,0.187805924,988.2839104,0.034943263,14.88706336,8.702849831,0.037085138,0.008806022,-29.05809038,0.629133333,47.11246667,74.91680586,48.0171107,32.77148578,17.28482162,0.345480823,1.926581893,27.49234493,0.2201289,0.0554371,0.0017282,0.057348533,0.008795706,0.074081539,1.151214453,0.987497512,0.871713458,0.165866844,0.188236637,0.655829376,0.004820389,0.012521,0.0049879,1.26E-04,20.53049994,0.27348562,42.49374508,1.089506668
QR,185,98.55432731,112.8702559,8.090048672,90.46427863,68.06481284,44.80544303,144.7665607,14.12345267,58.38511332,86.38144741,5.588340727,10.22658589,0.138563552,10.5474111,3.271881343,5.637873192,1.035092923,2.574053256,3.092186247,4.192990995,100,155.4913809,22.46585032,0.12678772,666.4519443,0.033709633,18.89950795,3.96156172,0.016392861,0.005944257,-27.35078538,0.685533333,48.2033,70.95782706,35.89474137,39.1613976,24.49362239,0.385072687,0.450238635,36.08643276,0.2296098,0.0648742,0.0014558,0.060677651,0.046162659,0.221380991,4.772858863,1.230684578,1.32321422,0.298315128,0.392994664,2.662036049,0.007225956,0.0120964,0.0059622,1.29E-04,22.12988618,0.468809867,40.33402706,1.785067673
QV,185,96.81198567,115.1667829,5.052096218,91.75988945,71.88046523,43.28631767,143.6457944,18.04641188,53.08053738,90.56525703,3.517051257,13.63269558,0.09517794,7.039745063,3.532448539,5.657613989,0.30514998,3.256938914,2.269513318,3.510037184,100,152.6544043,45.58840189,0.23030152,948.6716395,0.048054986,13.65226576,5.961383336,0.029104579,0.006283927,-29.21382098,0.7851,47.79033333,61.63152672,40.35217272,37.84843425,21.79939303,0.365407206,0,28.07310638,0.2212095,0.0585164,0.0011857,0.205813988,0.062519837,0.255723662,4.771511639,0.703332656,0.297202731,0.414921486,0,1.950764367,0.002741337,0.011541,0.0051281,1.16E-04,20.40903505,0.339272574,36.94819502,1.414786493
SA,185,112.5140205,115.7596549,12.54889214,96.74506925,67.5438704,48.21578454,143.7313662,18.25784528,43.33748698,100.3938793,8.730795837,20.30111673,0.289562063,16.47106523,4.671693562,15.89867959,0.024382012,4.787742591,10.13753702,5.819551479,100,95.93191043,22.84691897,0.205259286,537.485725,0.042507025,18.89666998,2.436279225,0.034033662,0.004532733,-32.90114871,0.832566667,47.7275,57.68592585,53.97911894,30.64605854,15.34971266,0.334561898,0.025109856,18.62343054,0.1555,0.1597,0.001076,0.014191153,0.041515954,0.474436771,3.612860237,0.919247,1.590833253,0.715769352,0.025109856,1.877468973,0.022235184,0.005676,0.01514,6.99E-05,18.0196683,0.709777193,30.15064809,0.696028969
TA,185,105.0684626,98.36767168,11.59956397,93.46889861,53.75013327,44.61753842,140.2853971,18.44889177,47.50939826,92.77599883,8.268546986,27.42630159,0.244153039,13.4044359,1.520921798,8.058720156,0.331530441,1.784403795,5.7224271,2.338545831,100,129.4658569,33.80065639,0.207020783,936.320353,0.036099457,8.879598555,5.275022393,0.031475972,0.005633779,-30.58876399,1.694866667,46.56776667,27.5381224,42.71331452,33.14324594,23.86080909,0.417532754,0.282630445,14.15014585,0.2168638,0.1066683,9.84E-04,0.131173038,0.062910766,0.28150909,0.841728578,1.215217566,1.269220493,2.178897017,0.04212977,1.587475459,0.030457149,0.008493,0.0093025,1.02E-04,22.59816922,0.943427441,33.86434601,1.462464851